title,price,image_url,auction_url
27ct Pokemon Tretta Chips Collectible Pocket Monster Coin Metal Lot,$17.99,https://shopgoodwillimages.azureedge.net/production/144\Items\07-18-2025\3b253d82-7e57-418b-80cc-13e3a2b11d850416_0718t1.jpeg,https://shopgoodwill.com/item/236620105
"FUNKO POP Star Wars Mandalorian, Mariah Carey, Marvel, Etc Asst Funk Pops Lot",$14.99,https://shopgoodwillimages.azureedge.net/production/144\Items\07-18-2025\e73233cf-6de6-495e-9a0a-3c6b4c34cd540416_0718t1.jpeg,https://shopgoodwill.com/item/236589274
Crown Royal Drawstring Bags - Assorted Colors and Designs,$22.00,https://shopgoodwillimages.azureedge.net/production/5\Items\07-14-2025\716307a8-3613-4110-b41d-8fdfcb492f15lsey_0714t1.jpeg,https://shopgoodwill.com/item/236110975
"Disney Mickey Mouse Mug, Tigger Vase & 2010 2014 Snowglobes Bundle",$11.99,https://shopgoodwillimages.azureedge.net/production/3\Items\07-15-2025\55726847-a5ed-41c3-bf9a-ae62a4e0cd1deita_0715t1.jpeg,https://shopgoodwill.com/item/236254110
Set of 6 Assorted Porcelain Clown Figurines/Dolls,$11.00,https://shopgoodwillimages.azureedge.net/production/19\Items\06-08-2025\75a10c1a-64a0-45dc-a693-6430ceb7c1c2nymb_0608t1.jpeg,https://shopgoodwill.com/item/236254808
Jim Shore Heartwood Creek 'Glorious Things of Spring' Decorative Basket,$11.99,https://shopgoodwillimages.azureedge.net/production/19\Items\06-17-2025\9cf369b3-b34d-40d9-827d-ce6912fdb7c9eath_0617t1.jpeg,https://shopgoodwill.com/item/236254812
"NASCAR Die-Cast Collectible Cars - Racing Champions, Hot Wheels, and Winners Cir",$11.99,https://shopgoodwillimages.azureedge.net/production/352\Items\07-15-2025\6b55985a-14b8-49e5-b473-80681a23db96h389_0715t1.jpeg,https://shopgoodwill.com/item/236234177
Unbranded Decorative Fan,$9.99,https://shopgoodwillimages.azureedge.net/production/2\Items\07-15-2025\89471c2b-a17c-46ca-8cc6-a53a18a97926anoc_0715t1.jpeg,https://shopgoodwill.com/item/236256141
Marvel Daredevil Funko Pop Figure,$9.99,https://shopgoodwillimages.azureedge.net/production/2\Items\07-15-2025\5aac8c08-c0f6-4028-9feb-f23fb8a8d6aeanoc_0715t1.jpeg,https://shopgoodwill.com/item/236256162
Souvenir Coin Album with Assorted Destinations,$12.99,https://shopgoodwillimages.azureedge.net/production/363\Items\07-15-2025\819ad6f8-b0f9-4198-a412-a41bae3ae3d9sokc_0715t1.jpeg,https://shopgoodwill.com/item/236267516
Vintage Meerschaum Smoking Pipe with Case,$19.00,https://shopgoodwillimages.azureedge.net/production/2\Items\07-15-2025\c0b5994b-0cf4-407a-8f13-d3a2aacb3f87sasv_0715t1.jpeg,https://shopgoodwill.com/item/236255420
Sitting Meditating Woman Figurine Brown,$49.99,https://shopgoodwillimages.azureedge.net/production/122\Items\12-26-2024\6ed76cf6-21e3-49f5-963b-a97607c14111Azyl_1226t1.jpeg,https://shopgoodwill.com/item/236255378
Funko Pop Movies Alien Covenant Vinyl Figures - 2 Pcs,$18.00,https://shopgoodwillimages.azureedge.net/production/50\Items\07-02-2025\30f71e41-2af7-4c61-b2ea-0d06d36a25a5fer1_0702t1.jpeg,https://shopgoodwill.com/item/236479456
Ceramic Glass Bells Collection,$49.99,https://shopgoodwillimages.azureedge.net/production/122\Items\01-24-2025\d2997f65-dc53-48e3-aa59-72fe72bae2c3raic_0124t1.jpeg,https://shopgoodwill.com/item/236255476
"Forever Collectibles ""Seattle Mariners"" Plush Monkey Toy - Signed",$49.99,https://shopgoodwillimages.azureedge.net/production/122\Items\01-24-2025\3ab1087e-d129-49ed-a683-fea3618f2566caho_0124t1.jpeg,https://shopgoodwill.com/item/236255498
"Chubbles Light Up Bear 8"" Vintage",$49.99,https://shopgoodwillimages.azureedge.net/production/122\Items\12-26-2024\d4104062-44d1-49be-a8ae-d8c7cc961669hnki_1226t1.jpeg,https://shopgoodwill.com/item/236255621
Feldschlosschen Glass & Metal Lid Beer Stein Made in Italy,$49.99,https://shopgoodwillimages.azureedge.net/production/122\Items\12-24-2024\6dbc27dc-191d-47ba-8752-cd66950698c1helr_1224t1.jpeg,https://shopgoodwill.com/item/236255750
Vintage Brass Tone Heart-Shaped and Diamond-Shaped Decorative Bells,$11.99,https://shopgoodwillimages.azureedge.net/production/352\Items\07-15-2025\2b3aeee5-ed9c-4ded-aba2-1677241ef68fh389_0715t1.jpeg,https://shopgoodwill.com/item/236235066
Seashell/Coral Variety Type/Size Grab Bag 4.30lbs,$49.99,https://shopgoodwillimages.azureedge.net/production/122\Items\01-27-2025\5884e41d-b493-441f-a8c7-892e679e474fnonh_0127t1.jpeg,https://shopgoodwill.com/item/236255981
Garbage Pail Kids Geeki Tikis Adam Bomb Mug A,$9.99,https://shopgoodwillimages.azureedge.net/production/22\Items\06-16-2025\e467245b-351f-43e4-80a4-8a0fb8d82ab7llen_0616t1.jpeg,https://shopgoodwill.com/item/236256187
Garbage Pail Kids GeekiTikis Adam Bomb Mug B,$9.99,https://shopgoodwillimages.azureedge.net/production/22\Items\06-16-2025\271ebcdf-034e-4442-b98d-1cceba9b9a30llen_0616t1.jpeg,https://shopgoodwill.com/item/236256233
Garbage Pail Kids GeekiTikis Adam Bomb Mug C,$9.99,https://shopgoodwillimages.azureedge.net/production/22\Items\06-16-2025\d1daf9cd-f982-476f-80aa-2417ea4cc0cfllen_0616t1.jpeg,https://shopgoodwill.com/item/236256283
Garbage Pail Kids GeekiTikis Adam Bomb Mug D,$9.99,https://shopgoodwillimages.azureedge.net/production/22\Items\06-16-2025\b54f792d-7caa-4307-9ff1-679bca389cb3llen_0616t1.jpeg,https://shopgoodwill.com/item/236256321
Garbage Pail Kids GeekiTikis Adam Bomb Mug F,$9.99,https://shopgoodwillimages.azureedge.net/production/22\Items\06-16-2025\37362403-c052-4e35-ae8b-22e55f595a6ellen_0616t1.jpeg,https://shopgoodwill.com/item/236256366
Glass Piggy Bank Coin Bank Vintage 5x2.5x3in,$49.99,https://shopgoodwillimages.azureedge.net/production/122\Items\02-25-2025\086e9d5f-ceca-4711-8e88-74cd860c596aAzyl_0225t1.jpeg,https://shopgoodwill.com/item/236256378
Vintage Decorative Stein Made in West Germany 9in,$49.99,https://shopgoodwillimages.azureedge.net/production/122\Items\01-02-2025\015f332a-07bd-49b5-b831-de9e7fe56fecAzyl_0102t1.jpeg,https://shopgoodwill.com/item/236256493
Garbage Pail Kids GeekiTikis Adam Bomb Mug F,$9.99,https://shopgoodwillimages.azureedge.net/production/22\Items\06-16-2025\95f51b12-148e-4e1c-8f0a-f1b6d6c8e1a0llen_0616t1.jpeg,https://shopgoodwill.com/item/236256751
Disney 100 Popcorn Bucket,$10.99,https://shopgoodwillimages.azureedge.net/production/2\Items\07-18-2025\489a8da0-f7be-4c8b-a044-0effeea2ede9anoc_0718t1.jpeg,https://shopgoodwill.com/item/236604917
"Gilded Ivory Ceramic Bird w/ Floral Tree Design Vase 12""",$49.99,https://shopgoodwillimages.azureedge.net/production/122\Items\01-16-2025\b04315c4-78c3-455b-9fe8-1bc18970f9b7caho_0116t1.jpeg,https://shopgoodwill.com/item/236256972
Funko Pop Moment Vinyl Figures - Ariel with Eric Statue & Muldoon Raptor Hunt,$49.99,https://shopgoodwillimages.azureedge.net/production/122\Items\07-14-2025\a6ddd48c-2d66-4c6c-8a6c-716b0f168caeraic_0714t1.jpeg,https://shopgoodwill.com/item/236135336
Ceramic Santa Christmas Design Brown Mug Made in Japan,$49.99,https://shopgoodwillimages.azureedge.net/production/122\Items\12-24-2024\713490f9-0d03-4fc8-8523-eae0f077f8bcwanr_1224t1.jpeg,https://shopgoodwill.com/item/236257232
Disney Mickey Mouse Collectables Plush Toys Ornaments Mug+ 5pc,$49.99,https://shopgoodwillimages.azureedge.net/production/122\Items\01-23-2025\a653f2c8-6210-436b-803c-b6d8d9cf410bolem_0123t1.jpeg,https://shopgoodwill.com/item/236257366
"Oklahoma State University Jewelry, Accessories, & Collectibles Lot",$24.01,https://shopgoodwillimages.azureedge.net/production/363\Items\07-15-2025\630bc1c9-e38e-46ef-b311-85b32aea39e2sokc_0715t1.jpeg,https://shopgoodwill.com/item/236269097
"Bulk Assorted Trading Cards - Cards Baseball, Basketball, Football  - 18.14 lbs",$86.00,https://shopgoodwillimages.azureedge.net/production/19\Items\07-14-2025\637e93b7-19a9-455e-aa4c-b5cbf4e17817hanb_0714t1.jpeg,https://shopgoodwill.com/item/236135768
Getzit Funny Donkey Beer Mug,$49.99,https://shopgoodwillimages.azureedge.net/production/122\Items\12-24-2024\76d7cd5c-9527-4c02-b10d-a55cf4533c61helr_1224t1.jpeg,https://shopgoodwill.com/item/236257600
Vintage Holly Hobbie Mother's Day 1973 Porcelain Collectors Plate,$49.99,https://shopgoodwillimages.azureedge.net/production/122\Items\12-26-2024\74da9dfb-0b0e-4817-a367-54cf48e6d397helr_1226t1.jpeg,https://shopgoodwill.com/item/236257649
Texaco Sky Chief Limited Edition 1957 Chevy Bel Air Pedal Car Die-Cast Model,$9.99,https://shopgoodwillimages.azureedge.net/production/342\Items\07-14-2025\a678f359-aad3-49fb-b632-4705b3995d68nton_0714t1.jpeg,https://shopgoodwill.com/item/236113070
Pokemon Mew Plush Toy - 10-Inch Official Licensed Merchandise,$12.00,https://shopgoodwillimages.azureedge.net/production/2\Items\07-15-2025\4a444fec-5b90-4cbb-8af2-7f1ceaa2c107sasv_0715t1.jpeg,https://shopgoodwill.com/item/236257787
Pyrex Mixing Bowls (4),$26.00,https://shopgoodwillimages.azureedge.net/production/2\Items\07-12-2025\2374e7d9-4d32-4192-bb03-c80365ad659eanoc_0712t1.jpeg,https://shopgoodwill.com/item/235993104
Handcrafted Monk Figurine in Red Robe with Gold Drum,$11.99,https://shopgoodwillimages.azureedge.net/production/352\Items\07-15-2025\9ce0b6ef-5eca-4e9b-b2bf-72c3de1e83f1ller_0715t1.jpeg,https://shopgoodwill.com/item/236237738
